MARD色号,HEX,数量
H16,#1D1414,438
F11,#5A2121,285
F10,#8A4526,185
G7,#9D5B3E,101
B26,#8D7A35,100
G8,#753832,86
G21,#B88558,64
C18,#1D3344,64
H7,#000000,57
G14,#8D614C,49
G13,#B7714A,42
M9,#A58767,39
G17,#78524B,37
H6,#2F2B2F,27
M6,#B0A782,18
G4,#E1B383,15
B23,#303A21,10
M12,#644749,9
G11,#E0C593,9
M13,#D19066,8
G10,#D98C39,8
G20,#A94023,6
A13,#FFC365,6
G9,#E6B483,4
A1,#FAF4C8,4
A25,#FFD67D,3
H5,#48464E,2
F6,#943630,2
G16,#F2D9BA,2
M5,#D0CCAA,2
