MARD色号,HEX,数量
H16,#1D1414,1659
C18,#1D3344,280
B23,#303A21,236
F11,#5A2121,236
F10,#8A4526,228
C12,#1C334D,113
H6,#2F2B2F,97
G20,#A94023,78
B26,#8D7A35,70
G8,#753832,66
G19,#E07935,63
G7,#9D5B3E,46
G10,#D98C39,36
G13,#B7714A,33
G6,#E99C17,27
B15,#2E5132,25
H7,#000000,18
F6,#943630,17
F7,#971937,13
M12,#644749,6
B11,#5D722A,5
F19,#C1444A,5
F18,#D37C46,4
G21,#B88558,3
