MARD色号,HEX,数量
H16,#1D1414,195
B11,#5D722A,194
H6,#2F2B2F,141
B23,#303A21,126
H5,#48464E,109
B32,#9CAB5A,100
B15,#2E5132,89
M15,#757D78,71
B26,#8D7A35,67
B25,#4E846D,62
M2,#8AA386,47
M3,#697D80,47
F11,#5A2121,36
G17,#78524B,35
G11,#E0C593,33
G16,#F2D9BA,32
M12,#644749,31
M6,#B0A782,29
C18,#1D3344,26
G4,#E1B383,25
G18,#FFE4CC,24
G14,#8D614C,24
M1,#BCC6B8,23
A11,#FFDD99,22
M9,#A58767,22
H7,#000000,17
B17,#9BB13A,16
G21,#B88558,14
G3,#F4C3A5,13
B9,#27523A,12
